Tiempo (s),Setpoint (SP),Temperatura (T),Control PWM (Q)
0,60.0,25.171,0.0
1,60.0,25.122,0.0
2,60.0,24.927,0.0
3,60.0,24.976,0.0
4,60.0,24.927,0.0
5,60.0,24.927,0.0
6,60.0,24.878,0.0
7,60.0,24.878,0.0
8,60.0,25.024,0.0
9,60.0,25.024,0.0
10,60.0,24.927,100.0
11,60.0,24.976,100.0
12,60.0,25.415,100.0
13,60.0,25.318,100.0
14,60.0,25.122,100.0
15,60.0,25.318,100.0
16,60.0,25.464,100.0
17,60.0,25.513,100.0
18,60.0,25.513,100.0
19,60.0,25.758,100.0
20,60.0,25.855,100.0
21,60.0,25.904,100.0
22,60.0,26.051,100.0
23,60.0,26.1,100.0
24,60.0,26.295,100.0
25,60.0,26.344,100.0
26,60.0,26.54,100.0
27,60.0,26.931,100.0
28,60.0,27.175,100.0
29,60.0,27.322,100.0
30,60.0,27.468,100.0
31,60.0,27.761,100.0
32,60.0,27.908,100.0
33,60.0,28.201,100.0
34,60.0,28.543,100.0
35,60.0,28.543,100.0
36,60.0,29.032,100.0
37,60.0,28.983,100.0
38,60.0,29.374,100.0
39,60.0,29.717,100.0
40,60.0,29.961,100.0
41,60.0,30.156,100.0
42,60.0,30.352,100.0
43,60.0,30.401,100.0
44,60.0,30.938,100.0
45,60.0,31.378,100.0
46,60.0,31.329,100.0
47,60.0,31.623,100.0
48,60.0,31.965,100.0
49,60.0,32.258,100.0
50,60.0,32.454,100.0
51,60.0,32.845,100.0
52,60.0,33.187,100.0
53,60.0,33.382,100.0
54,60.0,33.724,100.0
55,60.0,34.066,100.0
56,60.0,34.555,100.0
57,60.0,34.702,100.0
58,60.0,34.848,100.0
59,60.0,35.093,100.0
60,60.0,35.484,100.0
61,60.0,35.582,100.0
62,60.0,35.826,100.0
63,60.0,36.168,100.0
64,60.0,36.657,100.0
65,60.0,36.901,100.0
66,60.0,37.243,100.0
67,60.0,37.488,100.0
68,60.0,37.781,100.0
69,60.0,38.074,100.0
70,60.0,38.221,100.0
71,60.0,38.416,100.0
72,60.0,38.612,100.0
73,60.0,39.15,100.0
74,60.0,39.492,100.0
75,60.0,39.638,100.0
76,60.0,39.834,100.0
77,60.0,40.274,100.0
78,60.0,40.518,100.0
79,60.0,40.811,100.0
80,60.0,41.056,100.0
81,60.0,41.202,100.0
82,60.0,41.496,100.0
83,60.0,41.74,100.0
84,60.0,42.082,100.0
85,60.0,42.278,100.0
86,60.0,42.766,100.0
87,60.0,42.962,100.0
88,60.0,43.206,100.0
89,60.0,43.451,100.0
90,60.0,43.744,100.0
91,60.0,43.939,100.0
92,60.0,44.233,100.0
93,60.0,44.428,100.0
94,60.0,44.526,100.0
95,60.0,44.868,100.0
96,60.0,45.064,100.0
97,60.0,45.357,100.0
98,60.0,45.406,100.0
99,60.0,46.09,100.0
100,60.0,45.992,100.0
101,60.0,46.285,100.0
102,60.0,46.432,100.0
103,60.0,46.676,100.0
104,60.0,47.019,100.0
105,60.0,47.263,100.0
106,60.0,47.605,100.0
107,60.0,47.801,100.0
108,60.0,47.947,100.0
109,60.0,48.094,100.0
110,60.0,48.583,100.0
111,60.0,48.974,100.0
112,60.0,49.071,100.0
113,60.0,49.365,100.0
114,60.0,49.609,100.0
115,60.0,49.853,100.0
116,60.0,49.951,100.0
117,60.0,50.0,100.0
118,60.0,50.293,100.0
119,60.0,50.391,100.0
120,60.0,50.684,100.0
121,60.0,50.929,100.0
122,60.0,51.075,100.0
123,60.0,51.271,100.0
124,60.0,51.613,100.0
125,60.0,51.808,100.0
126,60.0,51.857,100.0
127,60.0,52.004,100.0
128,60.0,52.199,100.0
129,60.0,52.493,100.0
130,60.0,52.639,100.0
131,60.0,52.884,100.0
132,60.0,52.737,100.0
133,60.0,53.079,100.0
134,60.0,53.275,100.0
135,60.0,53.617,100.0
136,60.0,53.763,100.0
137,60.0,53.91,100.0
138,60.0,54.154,100.0
139,60.0,54.497,100.0
140,60.0,54.545,100.0
141,60.0,54.839,100.0
142,60.0,55.083,100.0
143,60.0,55.034,100.0
144,60.0,55.279,100.0
145,60.0,55.425,100.0
146,60.0,55.767,100.0
147,60.0,55.865,100.0
148,60.0,56.061,100.0
149,60.0,56.354,100.0
150,60.0,56.305,100.0
151,60.0,56.5,100.0
152,60.0,56.794,100.0
153,60.0,57.087,100.0
154,60.0,57.527,32.53452681767672
155,60.0,57.087,100.0
156,60.0,57.674,0.0
157,60.0,57.234,100.0
158,60.0,57.869,0.0
159,60.0,57.429,100.0
160,60.0,58.016,0.0
161,60.0,57.625,100.0
162,60.0,58.211,0.0
163,60.0,57.967,100.0
164,60.0,58.211,53.62940662540072
165,60.0,58.162,100.0
166,60.0,58.358,64.04384897010989
167,60.0,58.358,100.0
168,60.0,58.7,3.8743666898398743
169,60.0,58.113,100.0
170,60.0,58.602,0.0
171,60.0,58.113,100.0
172,60.0,58.798,0.0
173,60.0,58.358,100.0
174,60.0,58.602,43.53756517158537
175,60.0,58.358,100.0
176,60.0,58.651,30.45707927232101
177,60.0,58.504,100.0
178,60.0,58.749,42.64021277104898
179,60.0,58.602,100.0
